src dst time
39 11 1388868
43 56 1390562
43 55 1390562
43 50 1390562
70 19 1390921
70 24 1391696
24 70 1392149
50 43 1392412
49 60 1392510
48 78 1394142
55 43 1394543
14 25 1395644
14 86 1395644
43 56 1398218
43 67 1398218
43 49 1398218
43 55 1398218
43 50 1398218
43 80 1398218
49 43 1398775
77 61 1402621
43 56 1403281
43 67 1403281
43 49 1403281
43 55 1403281
43 50 1403281
43 80 1403281
55 80 1405845
49 67 1406130
57 24 1407293
57 26 1407293
57 65 1407293
57 80 1407293
43 55 1411415
43 30 1411602
80 25 1411893
25 2 1411912
29 49 1416919
80 25 1416936
43 49 1417638
57 26 1418563
49 43 1420723
46 65 1426765
23 58 1435183
58 23 1466934
48 54 1473833
54 48 1477566
67 48 1478147
65 24 1480408
48 54 1480490
48 24 1480490
24 65 1480537
87 56 1480701
38 4 1482082
54 48 1482160
43 49 1483113
4 67 1483133
23 58 1483363
38 4 1485078
29 49 1486648
55 49 1487927
49 55 1489325
70 19 1489806
70 19 1489810
70 19 1489853
61 56 1490229
54 16 1490260
54 50 1490260
83 82 1490659
1 88 1490960
80 70 1497275
65 46 1497797
55 80 1498969
80 55 1499407
35 14 1501182
57 24 1503909
57 65 1503909
88 60 1730244
54 48 1730784
19 70 1732320
49 67 1734149
49 67 1734325
77 61 1736818
32 16 1737801
38 4 1739986
88 60 1743928
57 46 1744884
57 24 1744884
57 26 1744884
57 65 1744884
57 87 1744884
57 80 1744884
57 46 1745004
57 24 1745004
57 26 1745004
57 65 1745004
57 87 1745004
57 80 1745004
38 4 1746465
16 88 1746669
16 88 1749870
33 84 1751847
29 49 1752135
25 78 1754212
78 25 1754394
48 54 1757588
54 48 1759817
88 60 1761241
51 26 1762998
88 60 1764538
88 60 1764636
88 60 1766111
4 46 1771134
77 88 1822170
33 84 1824367
33 84 1824636
1 58 1829072
1 58 1829089
1 58 1829107
49 29 1832017
38 4 1832289
88 77 1832301
38 4 1832439
8 66 1832680
8 17 1832736
83 1 1834309
83 87 1834309
49 67 1840870
49 54 1840870
54 67 1840941
54 49 1840941
16 61 1841300
49 67 1842019
77 15 1843241
54 32 1844077
54 67 1844077
54 52 1844077
54 49 1844077
54 48 1844077
88 60 1845097
83 4 1845131
77 88 1846785
33 84 1849943
16 64 1850407
80 70 1858075
65 54 1875582
88 60 1903728
88 15 1903728
88 60 1903869
88 16 1903869
88 15 1903869
77 88 1907343
29 49 1917577
88 60 1920287
88 15 1920287
25 88 1925619
88 60 1926359
88 15 1926359
48 67 1929782
65 54 1930503
80 55 1931054
43 49 1932100
52 57 1934129
80 57 1934788
49 54 1937503
54 49 1937840
25 88 1939550
54 24 1939936
83 35 1941715
88 60 1941989
88 16 1941989
88 15 1941989
88 60 1944433
88 16 1944433
57 24 1945068
57 26 1945068
57 65 1945068
88 16 1963836
88 15 1963836
88 16 1991153
88 25 1991153
39 11 1996213
24 54 1998446
80 55 1998537
63 54 1999050
38 4 1999634
57 24 2000627
57 26 2000627
57 65 2000627
25 19 2003463
25 88 2003463
88 60 2010877
88 16 2010877
88 15 2010877
54 65 2011957
88 60 2012597
88 16 2012597
83 1 2013395
4 83 2013799
77 61 2016209
55 11 2023310
57 24 2023326
57 65 2023326
88 60 2031777
88 16 2031777
88 15 2031777
48 65 2077289
54 16 2077424
54 67 2077424
11 55 2083596
49 43 2085240
38 4 2088473
54 67 2094080
54 65 2094080
43 56 2096041
43 67 2096041
43 49 2096041
43 55 2096041
43 50 2096041
43 80 2096041
48 24 2098287
48 54 2101110
48 65 2101110
77 61 2103033
43 55 2106459
83 1 2206150
83 1 2207859
16 60 2316255
16 25 2316255
70 19 2335782
4 38 2339833
77 61 2343855
77 61 2344120
38 4 2348750
54 65 2348933
19 70 2349537
77 25 2350554
83 56 2351358
25 16 2357585
88 25 2357930
88 25 2358984
88 25 2359025
83 56 2364799
77 25 2365962
88 25 2375330
88 25 2389187
25 60 2395954
25 16 2395954
16 25 2401494
19 70 2425661
46 18 2426937
48 24 2431251
38 4 2432982
38 4 2433035
48 24 2433136
25 88 2433149
88 25 2434899
65 48 2440567
49 43 2441788
43 49 2441830
49 43 2443490
24 65 2449343
11 86 2472169
11 78 2474342
11 39 2479865
77 61 2511836
39 11 2512530
57 65 2528488
52 57 2531687
48 24 2531899
24 65 2532127
11 39 2532387
52 57 2532581
70 55 2532861
85 64 2533126
85 31 2533126
70 19 2533855
70 19 2534049
78 11 2539152
57 65 2554851
88 54 2594813
54 88 2597409
54 67 2601899
54 65 2601899
70 19 2602687
70 19 2603130
19 70 2603311
43 60 2607544
24 48 2609632
57 24 2609651
24 58 2612603
55 32 2614977
57 65 2617248
24 26 2617313
49 43 2617485
43 56 2619546
43 67 2619546
43 49 2619546
43 70 2619546
43 55 2619546
43 50 2619546
43 80 2619546
49 43 2620482
50 43 2620762
48 43 2621934
48 54 2622928
48 65 2622928
80 55 2622955
61 56 2623512
58 24 2627717
57 65 2627957
60 16 2629167
49 43 2630122
49 43 2630333
88 60 2681272
70 43 2682433
70 19 2682487
70 19 2682596
39 80 2682600
39 80 2682735
48 24 2687607
58 68 2690670
58 21 2690981
58 81 2691143
58 64 2691316
21 60 2691596
21 62 2691596
21 5 2691596
21 66 2691596
21 44 2691596
21 81 2691596
21 30 2691596
21 88 2691596
11 78 2691820
87 83 2692574
78 11 2694023
77 43 2694666
54 67 2696018
54 65 2696018
84 33 2702597
70 19 2702807
70 19 2702810
70 19 2702966
33 84 2702986
49 43 2704773
43 77 2707435
49 43 2708610
49 43 2717296
88 25 2765001
64 58 2945579
23 58 2948306
60 7 2956513
60 69 2956513
60 15 2956513
48 24 2960130
66 71 2961246
66 71 2961247
66 71 2961248
4 64 2962138
83 56 2964222
83 1 2964222
29 60 2968119
66 60 2968664
66 62 2968664
66 5 2968664
66 44 2968664
66 81 2968664
66 30 2968664
66 88 2968664
49 80 2974469
49 43 2977610
54 48 3024785
43 48 3031395
39 11 3032515
49 64 3036164
50 43 3041403
48 54 3042770
88 25 3048544
88 25 3048599
16 60 3052480
23 60 3057138
23 7 3057138
23 59 3057138
23 62 3057138
23 5 3057138
23 66 3057138
23 21 3057138
23 44 3057138
23 81 3057138
23 69 3057138
23 30 3057138
23 88 3057138
49 54 3058569
16 60 3059550
25 78 3060628
33 84 3062744
83 56 3069560
83 1 3069560
83 87 3069560
60 16 3121510
60 67 3121510
60 54 3121510
60 15 3121510
85 88 3121743
70 80 3122036
80 70 3123747
77 60 3123888
77 60 3124913
60 77 3128186
30 69 3129761
21 55 3130045
87 56 3130459
88 60 3136316
77 61 3139425
4 38 3142506
77 61 3142522
38 4 3142909
25 4 3148331
4 25 3154760
77 61 3204621
54 52 3206111
60 66 3208295
29 60 3213440
44 22 3216827
83 82 3219489
83 64 3220193
87 56 3225759
49 78 3230194
83 56 3231832
56 83 3231935
54 48 3287440
48 54 3291552
56 87 3293233
87 56 3294045
85 87 3296944
63 17 3301150
52 54 3301235
62 23 3303479
62 66 3303479
33 84 3307668
83 56 3310075
64 16 3312411
22 44 3312457
64 16 3313224
83 1 3320279
0 70 3633883
80 25 3638361
38 4 3639580
48 54 3641405
88 84 3651152
64 85 3654352
87 85 3656409
57 67 3656595
85 64 3656937
49 54 3657080
54 22 3658331
50 57 3658525
60 30 3660528
16 64 3662794
60 29 3665782
87 56 3666189
87 1 3666189
87 83 3666189
83 1 3668650
3 67 3683960
30 66 3723960
11 39 3725316
38 4 3730060
39 11 3730717
18 46 3734958
18 53 3734958
18 38 3734958
18 26 3734958
18 37 3734958
11 30 3737415
44 49 3741347
14 15 3744095
85 46 3744498
55 64 3747280
55 50 3747280
48 54 3748125
25 88 3753446
88 8 3759605
26 65 3768752
26 46 3770694
26 24 3770694
26 65 3770694
26 57 3770694
3 15 3772092
48 54 3805468
39 11 3807799
49 60 3808270
54 48 3811554
60 29 3814595
54 48 3817250
48 54 3818537
83 1 3818744
57 67 3819441
57 52 3819441
11 39 3819505
48 54 3821255
65 46 3822221
65 24 3822221
65 26 3822221
39 11 3822243
57 24 3822416
57 26 3822416
48 2 3825060
48 67 3825060
48 24 3825060
32 80 3825152
57 26 3825784
57 26 3825849
87 21 3826583
54 48 3827485
2 48 3827790
25 88 3827879
84 88 3828947
85 66 3830045
85 66 3830065
85 66 3830092
54 48 3830359
19 9 3831260
64 16 3832711
24 48 3832896
48 24 3833389
87 1 3834497
87 83 3834497
64 16 3835858
88 60 3840960
88 16 3840960
88 15 3840960
23 60 3842818
23 7 3842818
23 59 3842818
23 62 3842818
23 5 3842818
23 66 3842818
23 21 3842818
23 44 3842818
23 81 3842818
23 69 3842818
23 30 3842818
23 88 3842818
70 19 3890493
70 19 3890495
4 38 3903183
38 4 3903348
49 60 3906421
4 38 3906630
18 46 3907499
18 53 3907499
18 38 3907499
18 26 3907499
18 37 3907499
65 24 3908368
14 88 3908684
55 25 3911018
55 80 3911080
25 55 3911485
70 19 3913784
80 70 3916114
16 9 3917781
54 65 3918264
49 44 3918977
38 4 3919430
23 66 3922760
48 65 3922969
43 49 3927278
54 65 3975000
32 65 3978864
2 65 3980165
54 65 3980322
54 16 3980533
48 24 3980779
71 66 3983460
67 65 3984029
71 66 3984216
67 54 3984518
33 84 3985409
19 70 3985660
52 65 3987428
54 67 3988420
80 55 3988484
17 65 3988522
70 19 3988850
11 39 3988970
11 55 3989052
24 65 3989378
24 65 3989579
43 56 3989770
43 67 3989770
43 49 3989770
43 55 3989770
43 50 3989770
43 80 3989770
70 19 3989845
22 54 3990870
60 22 3994960
52 84 3995641
84 65 3996451
39 11 3997467
49 60 3998487
18 8 3999206
51 38 4005011
4 38 4005728
49 55 4006034
49 80 4006034
60 38 4006569
60 15 4006569
46 66 4010761
16 32 4118265
16 4 4118265
4 38 4163634
4 38 4168117
38 4 4181976
38 4 4181998
38 54 4198348
38 54 4198424
38 54 4198595
11 39 4236719
54 60 4240179
54 67 4240987
85 64 4245835
60 54 4245959
60 38 4245959
60 15 4245959
65 24 4246820
65 24 4246874
87 83 4247721
35 43 4247806
50 52 4249900
87 83 4251521
87 83 4251562
57 52 4253809
88 25 4254365
